,id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,preview_url
85,0tkgmjBMU6qSxolAKB3f2H,RNB,0.547,0.619,3,-6.485,0,0.132,0.0951,2.62e-06,0.0716,0.519,76.285,233070,4,https://p.scdn.co/mp3-preview/a607fe82299d01dbbb5049a6db136c0aad105dd8?cid=b1b7bb35faa34eac9690da4b561aa86f
86,2KdKh9vHbKW0tZLqtpxxI0,RNB,0.81,0.655,8,-6.779,0,0.0698,0.127,8.16e-05,0.105,0.809,150.002,193322,4,
87,1REVvAphiSTJyKQ1fDpHa4,RNB,0.567,0.824,3,-6.973,0,0.296,0.167,2.65e-06,0.149,0.737,138.202,329295,4,
88,1DA2ADZs6O28y2rmdmpekw,RNB,0.914,0.643,6,-3.862,0,0.134,0.0498,0.0,0.0618,0.764,105.033,187907,4,https://p.scdn.co/mp3-preview/d39f8d61726b6449f07d2f8d0ae17e6c2487ccf0?cid=b1b7bb35faa34eac9690da4b561aa86f
89,2MJlhN2OockKCadeGS4AEP,RNB,0.686,0.415,4,-11.502,0,0.0425,0.743,0.000162,0.228,0.236,130.015,175387,4,https://p.scdn.co/mp3-preview/9ecaa8fe0b4f085e989aa17dd280825df69897e4?cid=b1b7bb35faa34eac9690da4b561aa86f
90,4qgMPzf9QOETWQFUcFkHD4,RNB,0.569,0.325,7,-9.66,0,0.0376,0.67,0.0,0.141,0.274,122.051,207547,3,https://p.scdn.co/mp3-preview/6e7a36afdb21900f00d4ed4f50c8199b6436bc80?cid=b1b7bb35faa34eac9690da4b561aa86f
91,1bdm32mVmoGcek5bVKxQKd,RNB,0.708,0.673,6,-4.163,1,0.0585,0.499,0.000233,0.103,0.311,136.969,197520,4,
92,1DOgkaR5Gqa8JtPEIbQORC,RNB,0.677,0.541,6,-6.057,0,0.0571,0.48,0.0,0.125,0.379,103.369,205276,4,https://p.scdn.co/mp3-preview/a327dc88625347ec9a7d232445309c1bf84f0724?cid=b1b7bb35faa34eac9690da4b561aa86f
93,3NiL2JcFIncyshy4KOKA73,RNB,0.574,0.176,8,-10.924,0,0.213,0.928,0.437,0.119,0.497,78.929,236236,4,https://p.scdn.co/mp3-preview/a947feb6f38aa4acd29a7a2edcae6095193a8398?cid=b1b7bb35faa34eac9690da4b561aa86f
94,1mSdbey7RstGLY2udgXv74,RNB,0.835,0.691,0,-5.828,1,0.113,0.0159,1.44e-05,0.108,0.581,103.999,263289,4,https://p.scdn.co/mp3-preview/7a1eaedacbc1018448d72e36ae97b7a1d7789dc0?cid=b1b7bb35faa34eac9690da4b561aa86f
95,2B7UWqNqKgPVGQQ6FXn2PP,RNB,0.734,0.511,0,-4.905,0,0.0592,0.148,0.0,0.29,0.727,124.995,206947,4,https://p.scdn.co/mp3-preview/08a90f0ae16594a29e7a5692da2a186d6385b5c4?cid=b1b7bb35faa34eac9690da4b561aa86f
96,67v2UHujFruxWrDmjPYxD6,RNB,0.756,0.554,7,-7.166,0,0.145,0.211,0.0,0.274,0.563,120.028,210346,4,
97,2lVYLiHGIX6GajMqYXF1Un,RNB,0.815,0.606,2,-4.496,0,0.0586,0.543,2.03e-05,0.114,0.484,114.009,223160,4,
98,7g6FlLHxbVqMi1s7S8tDTp,RNB,0.681,0.71,11,-6.643,0,0.0574,0.155,3.02e-05,0.367,0.254,89.957,188505,4,https://p.scdn.co/mp3-preview/487bd54b860e5d464f2589e3fe8bda62f7e79e18?cid=b1b7bb35faa34eac9690da4b561aa86f
99,0s7Z1RtnsmiYOfSIbB3btD,RNB,0.726,0.308,0,-5.858,0,0.0389,0.665,0.151,0.121,0.279,91.999,154532,4,
100,7sTyAjxDXq9afwfSQy6D0s,HipHop,0.671,0.615,1,-9.593,1,0.0955,0.00113,1.3e-06,0.211,0.109,130.031,147744,4,https://p.scdn.co/mp3-preview/08082a5c6306207179dcc44af304b9967c3ca9d0?cid=b1b7bb35faa34eac9690da4b561aa86f
101,52eIcoLUM25zbQupAZYoFh,HipHop,0.624,0.74,2,-8.445,1,0.0481,0.00529,0.000224,0.5,0.246,172.089,270698,4,https://p.scdn.co/mp3-preview/36b18ee006f29af8902a4886029ba2431368f57a?cid=b1b7bb35faa34eac9690da4b561aa86f
102,1oaV97SzklGWVLi9LdW4Hf,HipHop,0.844,0.626,0,-5.677,1,0.281,0.034,0.0,0.123,0.376,166.044,133984,4,
103,79AHPJd8upvNxyK2qQcY8J,HipHop,0.745,0.663,1,-5.056,1,0.423,0.078,0.0,0.213,0.686,167.137,192819,4,https://p.scdn.co/mp3-preview/939c9e6c6835a0610e02f80510f8d577c6d5c1f4?cid=b1b7bb35faa34eac9690da4b561aa86f
104,4iZIJ8Dcmi8yZ4uTB63ubu,HipHop,0.45,0.906,8,-5.303,1,0.295,0.00203,0.0,0.299,0.19,160.826,234093,4,https://p.scdn.co/mp3-preview/9016fb9e5cf21201a1f44080a831dbe402c0e499?cid=b1b7bb35faa34eac9690da4b561aa86f
105,5GCU2LJWPzoP8Q6nexs61z,HipHop,0.673,0.526,8,-7.612,1,0.0677,0.00172,0.0,0.3,0.303,75.505,139867,4,https://p.scdn.co/mp3-preview/e7f1ab435bf646af56941f2c4ef4fbda02bf8b91?cid=b1b7bb35faa34eac9690da4b561aa86f
106,4b8zFITxLmN0rIbhuj5wub,HipHop,0.92,0.703,8,-4.976,1,0.357,0.00518,0.0,0.0893,0.853,140.012,138857,4,
107,5CT3zRd2FKM7F81KEacXIP,HipHop,0.623,0.554,10,-8.137,1,0.103,0.0355,0.0,0.117,0.186,142.137,169014,3,
108,72v1J97VEDEoAq66SQW0yh,HipHop,0.724,0.711,7,-8.152,0,0.274,0.314,0.0,0.169,0.765,142.938,142315,4,https://p.scdn.co/mp3-preview/10976ba41032a978bb5fd25654f76806d41a4936?cid=b1b7bb35faa34eac9690da4b561aa86f
109,4w2Furap0ZzaiK4J14E9sR,HipHop,0.967,0.545,9,-6.647,1,0.207,0.0403,0.000195,0.0809,0.311,122.101,141639,4,
110,2Gad6cnlOw8iSwANtVZXWi,HipHop,0.943,0.652,7,-6.273,1,0.0625,0.0882,0.00252,0.157,0.542,111.025,112509,4,https://p.scdn.co/mp3-preview/7ba98a711c10f795ad6921093cbb2e9f8afacbb1?cid=b1b7bb35faa34eac9690da4b561aa86f
111,4xhsWYTOGcal8zt0J161CU,HipHop,0.943,0.558,2,-4.911,1,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,138411,4,https://p.scdn.co/mp3-preview/eeeb6151d0049367b3ad3db0389e9e3b116c0774?cid=b1b7bb35faa34eac9690da4b561aa86f
