danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key__0,key__1,key__2,key__3,key__4,key__5,key__6,key__7,key__8,key__9,key__10,key__11,genre_encoded
0.131,0.295,-14.984,0.0373,0.847,0.0259,0.125,0.0426,94.727,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.319,0.00923,-27.739,0.0729,0.995,0.808,0.0665,0.0349,67.974,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.272,0.094,-23.598,0.0486,0.951,0.162,0.0656,0.264,128.632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0632,0.036,-31.784,0.0447,0.908,0.91,0.113,0.0393,65.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.48,0.311,-15.19,0.0383,0.941,0.00187,0.0803,0.627,97.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.298,0.183,-20.368,0.0357,0.906,0.914,0.114,0.385,152.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.16,0.11,-19.044,0.0578,0.977,0.717,0.0829,0.0392,74.581,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.579,0.0845,-20.558,0.05,0.938,0.606,0.115,0.288,147.547,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.273,0.0491,-25.095,0.0393,0.968,0.922,0.109,0.112,95.291,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.654,0.252,-16.369,0.0375,0.961,0.894,0.169,0.525,113.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.219,0.219,-18.769,0.0362,0.0309,0.854,0.0896,0.0466,129.834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.362,0.373,-17.23,0.0399,0.84,0.683,0.191,0.216,115.322,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.151,0.069,-23.15,0.0413,0.639,0.541,0.0884,0.0609,137.601,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.341,0.0314,-26.721,0.0382,0.984,0.684,0.105,0.374,137.167,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.462,0.177,-15.476,0.0382,0.584,0.437,0.0692,0.193,107.828,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.147,0.0616,-22.948,0.0528,0.899,0.00132,0.238,0.0398,76.943,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.449,0.413,-18.937,0.103,0.634,0.453,0.106,0.249,110.407,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.425,0.175,-20.075,0.0317,0.759,0.718,0.0939,0.569,135.282,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.352,0.0205,-27.402,0.0434,0.993,0.905,0.0952,0.0364,130.561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.209,0.15,-23.697,0.0404,0.969,0.465,0.069,0.0383,104.325,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.293,0.0827,-20.835,0.0406,0.966,0.85,0.295,0.0459,131.494,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.454,0.0867,-23.834,0.0457,0.936,0.562,0.153,0.385,114.943,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.47,0.212,-19.548,0.0812,0.968,0.926,0.154,0.206,112.681,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.233,0.0101,-30.54,0.0397,0.985,0.852,0.0926,0.0737,78.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.518,0.379,-14.17,0.0596,0.703,0.0144,0.115,0.544,77.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.329,0.129,-16.313,0.0313,0.798,0.873,0.142,0.0383,141.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.299,0.272,-13.575,0.033,0.588,0.212,0.119,0.518,145.843,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.369,0.256,-19.411,0.0379,0.98,0.836,0.109,0.721,85.265,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.344,0.196,-13.225,0.0341,0.944,0.709,0.0708,0.0935,130.133,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.356,0.13,-17.07,0.0442,0.951,0.116,0.261,0.231,119.507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.237,0.255,-15.748,0.0363,0.887,0.619,0.0859,0.121,102.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.51,0.0785,-21.779,0.0604,0.771,8.74e-05,0.0741,0.429,121.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
