,Unnamed: 0,id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,preview_url
3178,3178,4raGevWiW8i1gactXulebp,Country,0.568,0.698,9,-4.733,1,0.0436,0.0459,0.0,0.095,0.872,164.371,148440,4,https://p.scdn.co/mp3-preview/506c4c1ffd0c7707835b4b39ab7931f9dfe3567d?cid=b1b7bb35faa34eac9690da4b561aa86f
3179,3179,5toaXJWnmQCnGRh8eOrEwE,Country,0.858,0.66,2,-7.953,1,0.029,0.231,0.0,0.189,0.933,123.299,203733,4,https://p.scdn.co/mp3-preview/23b00769d9f4d4b36fbd67eebc0b85bedebb097c?cid=b1b7bb35faa34eac9690da4b561aa86f
3180,3180,5EPQbU0wk70Btiu9onZR48,Country,0.596,0.626,7,-12.945,1,0.0634,0.402,0.0,0.0498,0.962,155.556,177693,4,https://p.scdn.co/mp3-preview/650a5bd9777aacc67d59b31d1a9357c586a7841e?cid=b1b7bb35faa34eac9690da4b561aa86f
3182,3182,1EKiQ1InQXuodp4M1idrng,Country,0.586,0.675,7,-7.819,1,0.0776,0.26,0.0,0.144,0.473,143.92,199587,4,https://p.scdn.co/mp3-preview/ef8f05235be3cfacb570a42a053c6b20ac6e7116?cid=b1b7bb35faa34eac9690da4b561aa86f
3183,3183,50hbhWWZ5b36hC6x7dh4bP,Country,0.59,0.398,1,-16.012,1,0.38,0.781,0.0,0.0683,0.724,109.634,299747,3,https://p.scdn.co/mp3-preview/de91c927a738cab88921aa3db596ea023d6b6a69?cid=b1b7bb35faa34eac9690da4b561aa86f
3184,3184,1B3wswoDyVdEbWO9lmEzSk,Country,0.373,0.562,2,-12.841,1,0.0323,0.216,0.103,0.37,0.708,103.109,178600,4,https://p.scdn.co/mp3-preview/9b383ead35a7e7b81d3179161a631eba6cc6beac?cid=b1b7bb35faa34eac9690da4b561aa86f
3185,3185,4NRFiS0pHjTFDjOm1LWTZj,Country,0.472,0.338,2,-11.196,1,0.0273,0.85,0.000221,0.0761,0.522,85.66,174827,4,https://p.scdn.co/mp3-preview/ea32e6f35bc6b62a37672294cf6c85b1d82b5acd?cid=b1b7bb35faa34eac9690da4b561aa86f
3244,3244,7EfUOr3K3yarhqo2wCMqRe,Country,0.43,0.378,11,-7.595,1,0.0304,0.224,0.0,0.0817,0.149,78.787,172500,4,https://p.scdn.co/mp3-preview/23a1841c0cdf00eabaa8134c983c26bed678de7f?cid=b1b7bb35faa34eac9690da4b561aa86f
3254,3254,7xUM8wKYINpqPH83Lsi2jF,Country,0.505,0.736,10,-4.963,1,0.0349,0.038,1.28e-06,0.106,0.353,151.089,204629,4,https://p.scdn.co/mp3-preview/3e385f54f671901d5d0b0feab50b3a979aefec32?cid=b1b7bb35faa34eac9690da4b561aa86f
3259,3259,0sQz0FC9qin2UIdGeJR0hk,Country,0.538,0.507,11,-7.112,0,0.0294,0.356,0.0,0.264,0.408,129.11,163244,4,https://p.scdn.co/mp3-preview/d635473c005e4840ddd3bb75663a3099ee436818?cid=b1b7bb35faa34eac9690da4b561aa86f
3260,3260,28ejnV7iWD3bIgBXwcTy5k,Country,0.582,0.702,2,-5.943,1,0.0255,0.247,0.0109,0.205,0.629,85.713,184576,4,https://p.scdn.co/mp3-preview/dab0b29ff3dbffe00ecda7b5c9c15446fd73f468?cid=b1b7bb35faa34eac9690da4b561aa86f
3266,3266,1nOEnc4w1DeeIFJBw5F2ID,Country,0.615,0.49,7,-8.481,0,0.0289,0.336,0.0392,0.104,0.195,141.943,181690,4,https://p.scdn.co/mp3-preview/3cc58eff7a43e53f29af0f5fb0dc29f76c6819c5?cid=b1b7bb35faa34eac9690da4b561aa86f
3267,3267,4QZZi7Oo8XYwiCMU3kZetX,Country,0.471,0.607,6,-7.236,1,0.04,0.0164,0.0,0.113,0.366,139.959,185357,4,https://p.scdn.co/mp3-preview/c713a4659c364683b26ae99ee9e4604ef8f11d6f?cid=b1b7bb35faa34eac9690da4b561aa86f
3276,3276,1EnisnWLM0Zaoshg2zuoMl,Country,0.58,0.556,8,-8.822,1,0.027,0.124,0.00309,0.102,0.553,91.728,233442,4,https://p.scdn.co/mp3-preview/475d203e9ccb70cb675477c546a01287397dc283?cid=b1b7bb35faa34eac9690da4b561aa86f
3277,3277,1QktMOMQpD6LvHaYaRjZhX,Country,0.78,0.356,5,-9.506,1,0.275,0.421,0.0,0.11,0.609,159.084,139789,4,https://p.scdn.co/mp3-preview/ef2e65aaf719baef0bbb6e1ed69531a00b40a93b?cid=b1b7bb35faa34eac9690da4b561aa86f
3278,3278,0hPjVUSEIYT649WijB2EGl,Country,0.665,0.804,1,-4.838,1,0.0321,0.0141,0.0,0.107,0.44,105.053,195284,4,https://p.scdn.co/mp3-preview/9d2c51c73d46cfe3d0f4f038aff48e90f64152af?cid=b1b7bb35faa34eac9690da4b561aa86f
3283,3283,5cXqVF8n5mtOqbhlKNXrp1,Country,0.776,0.66,8,-7.262,1,0.129,0.2,0.0,0.109,0.761,145.033,152367,4,https://p.scdn.co/mp3-preview/417b694f7df4d04dba135483ff763a2f1705a029?cid=b1b7bb35faa34eac9690da4b561aa86f
3284,3284,6A9zZO9ibucGSN8Jmyxt9w,Country,0.419,0.452,9,-7.007,1,0.0337,0.179,0.0,0.142,0.367,153.228,288000,3,https://p.scdn.co/mp3-preview/3b4fc44f493c0144b56bee6f9b8914568f7100be?cid=b1b7bb35faa34eac9690da4b561aa86f
3285,3285,0XYzGp6QbYfbKXBqrvpnnt,Country,0.6,0.594,6,-5.335,1,0.0376,0.0837,0.0,0.0665,0.442,115.181,160653,4,https://p.scdn.co/mp3-preview/f94c2eaf8696b2bb097c43d524857448709bfed7?cid=b1b7bb35faa34eac9690da4b561aa86f
3286,3286,7fuO3mniCpm9g3LjOxjuRn,Country,0.619,0.562,3,-8.191,1,0.0358,0.0306,3.69e-05,0.139,0.249,127.973,184687,4,https://p.scdn.co/mp3-preview/980144e1f6dc26321d18203fc2bbb07e00da4de2?cid=b1b7bb35faa34eac9690da4b561aa86f
3287,3287,3YnIYa9Z8qwM0GILQ3ugHg,Country,0.829,0.621,11,-6.24,0,0.24,0.0372,0.0,0.129,0.535,144.522,149106,4,https://p.scdn.co/mp3-preview/d8148b386f00eabf7d2d16efb4089ea0eedfac30?cid=b1b7bb35faa34eac9690da4b561aa86f
3288,3288,4KlJvbtCMGApjOIEoujmOu,Country,0.54,0.872,5,-3.777,1,0.0583,0.00169,0.0,0.126,0.429,140.009,181312,4,https://p.scdn.co/mp3-preview/fc529e85ae4b9c96b23148360efbadf2c3317e5f?cid=b1b7bb35faa34eac9690da4b561aa86f
3289,3289,3qgnzKJazxtHkwW3BpbiKf,Country,0.374,0.844,3,-9.76,1,0.0878,0.0383,0.00102,0.735,0.514,164.168,343744,4,https://p.scdn.co/mp3-preview/a619aa69b9d26ad042c66926feac50be20b8ca68?cid=b1b7bb35faa34eac9690da4b561aa86f
3291,3291,2RppMxmZXgMRuVP5jteh3u,Country,0.515,0.0313,9,-14.014,1,0.0513,0.918,3.45e-06,0.102,0.334,153.284,242206,3,https://p.scdn.co/mp3-preview/56de91dc44c3e605717dc07cf0355c774c136b33?cid=b1b7bb35faa34eac9690da4b561aa86f
3292,3292,489BVg3rINnA13FE43GF8v,Country,0.6,0.609,6,-5.503,1,0.0347,0.314,0.0,0.184,0.535,152.572,163153,4,https://p.scdn.co/mp3-preview/3e19338e24f1a6b563bf4bf47e0347d570f3986e?cid=b1b7bb35faa34eac9690da4b561aa86f
3303,3303,0JT5EMlK5LsbqzgLo8zSfM,Country,0.599,0.779,2,-6.542,1,0.0538,0.0926,1.57e-06,0.12,0.594,111.997,149253,4,https://p.scdn.co/mp3-preview/cfeecb4853ca9e012a5bae4d6bbc808a3f5d77dd?cid=b1b7bb35faa34eac9690da4b561aa86f
3313,3313,2Ls3GmFwIpRKjK2RijxFfc,Country,0.445,0.668,4,-4.747,1,0.0285,0.33,0.0,0.132,0.314,148.073,233832,4,https://p.scdn.co/mp3-preview/b1ca04c657548752a652e769d60e3e0d54f32ff4?cid=b1b7bb35faa34eac9690da4b561aa86f
3314,3314,4BrXSvLDxtc7kTzzZylM0j,Country,0.517,0.521,2,-8.708,1,0.0277,0.0672,0.016,0.498,0.435,138.43,287387,4,https://p.scdn.co/mp3-preview/bffb2d9feac6e50629596b3fd5727010bf6db0f7?cid=b1b7bb35faa34eac9690da4b561aa86f
3315,3315,2J1aBtH3yezlsWA9k9DscC,Country,0.403,0.486,8,-4.707,1,0.0289,0.544,0.0,0.173,0.27,133.882,278923,4,https://p.scdn.co/mp3-preview/1c0b3fc06fddf817321ab7e922d6b53c2285bb60?cid=b1b7bb35faa34eac9690da4b561aa86f
3316,3316,6eTpmhY7xKB9bvC11ZA6Zi,Country,0.462,0.728,1,-6.82,1,0.0493,0.165,0.0403,0.198,0.743,185.917,190352,4,https://p.scdn.co/mp3-preview/f64581a87ddea22ecc756ffccaeb79ff6e935a6b?cid=b1b7bb35faa34eac9690da4b561aa86f
3317,3317,1vuyszheVRLnnElgBK6854,Country,0.393,0.627,4,-5.77,1,0.0282,0.02,1.95e-06,0.204,0.434,178.435,209040,4,https://p.scdn.co/mp3-preview/db18530e668520465c1710cec7c05811f75f21c9?cid=b1b7bb35faa34eac9690da4b561aa86f
3318,3318,1QnjAMD4pKP8vHmsgFMLW4,Country,0.548,0.514,8,-6.963,0,0.0274,0.311,0.000725,0.152,0.283,113.973,237013,4,https://p.scdn.co/mp3-preview/9e371944f0068357f25115c8f66b526c20f40e5c?cid=b1b7bb35faa34eac9690da4b561aa86f
3319,3319,1gJ0Vycekg5Cc6s9RJLy99,Country,0.42,0.278,10,-8.758,1,0.0347,0.85,2.94e-05,0.109,0.221,189.725,206387,3,https://p.scdn.co/mp3-preview/5beb2eee0e920c6219550814a05fb15ca4d281f3?cid=b1b7bb35faa34eac9690da4b561aa86f
3320,3320,5ozUk8x8dsPRe0MfMvpUCq,Country,0.591,0.878,7,-4.373,1,0.0345,0.26,2.16e-06,0.155,0.801,80.018,189987,4,https://p.scdn.co/mp3-preview/cd3ce09ec06c37119f2dbcff7fdedb36ad1ffc68?cid=b1b7bb35faa34eac9690da4b561aa86f
3321,3321,4PmMCkv6VldJxE0fzE6jrT,Country,0.531,0.751,4,-5.894,1,0.028,0.0314,1.58e-05,0.075,0.379,76.003,218879,4,https://p.scdn.co/mp3-preview/bb115d15eaccfcbdb73de57cf6c2014fdc361f16?cid=b1b7bb35faa34eac9690da4b561aa86f
3322,3322,6RBAtTKGV8ORFokKu2vUGH,Country,0.585,0.635,2,-4.898,1,0.0277,0.124,0.0,0.353,0.565,143.911,181752,4,https://p.scdn.co/mp3-preview/e606ab5c1c343f11305f010b642d3b9fccd7b508?cid=b1b7bb35faa34eac9690da4b561aa86f
3336,3336,3NTMy0v9KcdadXx0FlN3p1,Country,0.486,0.401,2,-9.557,1,0.0426,0.113,1.59e-06,0.134,0.357,179.705,206333,3,https://p.scdn.co/mp3-preview/a28deeb4dd5a3c9cd2ac35bc7a20e2222256ad69?cid=b1b7bb35faa34eac9690da4b561aa86f
3337,3337,4W0CTMwJHvtXCDCWZ3XIKS,Country,0.626,0.823,6,-6.703,1,0.0742,0.239,0.0,0.302,0.45,95.918,150160,4,https://p.scdn.co/mp3-preview/6bab55a0ff5fbe85eaef8344b2c89cc3bec5f1c5?cid=b1b7bb35faa34eac9690da4b561aa86f
3338,3338,1ZxCjf2IeUsstpvZBL4kyh,Country,0.662,0.614,2,-3.098,1,0.0318,0.298,0.0,0.187,0.47,136.094,177566,4,https://p.scdn.co/mp3-preview/00f2d1c94d8ba1426c98b9e0f92f4d858cc72d95?cid=b1b7bb35faa34eac9690da4b561aa86f
3339,3339,0assvfMBnNcD0fBgWi7gzE,Country,0.355,0.357,1,-8.9,1,0.0324,0.427,2.3e-06,0.183,0.357,139.999,208568,4,https://p.scdn.co/mp3-preview/5f067a760b80941383ddb6e402e4d0aa15f5e775?cid=b1b7bb35faa34eac9690da4b561aa86f
3340,3340,4OsgignORHaeVwHVo409ow,Country,0.644,0.723,1,-5.32,0,0.0875,0.235,0.000101,0.157,0.698,148.006,207000,4,https://p.scdn.co/mp3-preview/bd5d2b0d67261af499d54faa5ef85adc85611c24?cid=b1b7bb35faa34eac9690da4b561aa86f
3341,3341,60J2bRwWebijwW97c4kxWv,Country,0.735,0.493,8,-4.57,1,0.0309,0.653,0.0,0.0885,0.481,125.009,198921,4,https://p.scdn.co/mp3-preview/5fe43cb30f8a50bb973b4b1d7f8a1131fabd3a75?cid=b1b7bb35faa34eac9690da4b561aa86f
3342,3342,2rjgrMOBaPvSoEbttcuadg,Country,0.597,0.769,6,-4.717,1,0.0458,0.069,0.0,0.106,0.461,130.921,194334,4,https://p.scdn.co/mp3-preview/be66c046c0efd5b2ee54bd43035138073a1f49e5?cid=b1b7bb35faa34eac9690da4b561aa86f
3343,3343,2JkP68ZMZq2SkegAQqbJrM,Country,0.635,0.491,6,-7.057,1,0.0287,0.0981,0.0,0.0999,0.362,84.991,171408,4,https://p.scdn.co/mp3-preview/3efaab5b3faa1bc668a279a83d5a68ffa5a9f5f5?cid=b1b7bb35faa34eac9690da4b561aa86f
3344,3344,5kfx1RL383sxPiytI6iVMr,Country,0.356,0.578,2,-5.792,1,0.0317,0.356,0.0,0.214,0.419,171.772,124186,3,https://p.scdn.co/mp3-preview/2d839667c672c409a5c2fbf93e8858bbd72bfa34?cid=b1b7bb35faa34eac9690da4b561aa86f
3345,3345,4I4HYjmKvm9gEYcPQJUq88,Country,0.576,0.54,0,-8.161,1,0.0278,0.0681,0.0,0.139,0.483,113.931,240395,3,https://p.scdn.co/mp3-preview/8e344208709a81c47e2ac69d4ea1c602e6c05041?cid=b1b7bb35faa34eac9690da4b561aa86f
3346,3346,5kZHbJYh8eSKP126QeY8QU,Country,0.466,0.348,10,-6.215,1,0.0294,0.695,0.0,0.127,0.21,151.734,195489,3,https://p.scdn.co/mp3-preview/6e98ee965fb772e347d032b28453aab1d1bfff53?cid=b1b7bb35faa34eac9690da4b561aa86f
3356,3356,0ctWMHPJPAUAXh9nyjzuuB,Country,0.601,0.798,11,-4.279,1,0.0312,0.0144,0.0,0.114,0.538,140.074,209256,4,https://p.scdn.co/mp3-preview/f6153bd7bb298bce2c96aa06629baec63b675f88?cid=b1b7bb35faa34eac9690da4b561aa86f
3361,3361,6ixdWld4Wy0ikWWf0a7MNA,Country,0.483,0.951,9,-4.838,1,0.082,0.00666,0.00351,0.23,0.728,170.025,190414,4,https://p.scdn.co/mp3-preview/e831e16c6b8939b5f2790dd1aef6c09f613c3709?cid=b1b7bb35faa34eac9690da4b561aa86f
3362,3362,30V9aMdXp2C9ACRcdI2STO,Country,0.573,0.499,3,-11.904,1,0.0341,0.606,0.000298,0.108,0.435,85.919,198973,4,https://p.scdn.co/mp3-preview/4eb1b468b99cde8ccf411e7d9d32d9041b821abc?cid=b1b7bb35faa34eac9690da4b561aa86f
3363,3363,1pwygbDEAe12h0JSKOuVRV,Country,0.452,0.291,0,-10.825,1,0.0485,0.662,0.0,0.0939,0.434,78.367,168704,3,https://p.scdn.co/mp3-preview/2308de6b783d2cdd7303c0f2dd965b1adfc6cf42?cid=b1b7bb35faa34eac9690da4b561aa86f
3364,3364,1fgZpbJqckVxYDGEYfhLlj,Country,0.692,0.739,11,-4.708,1,0.0257,0.259,0.0,0.343,0.92,105.04,150244,4,https://p.scdn.co/mp3-preview/807b943d5f6e65a9b7614dd1bfa35d712dd2593a?cid=b1b7bb35faa34eac9690da4b561aa86f
3365,3365,7kkpeq1dLp13HE7tcurmK0,Country,0.616,0.799,6,-4.644,1,0.0356,0.0673,8.44e-05,0.135,0.299,136.965,163514,4,https://p.scdn.co/mp3-preview/ad9b127dc233bd727c5d50ddc6fcd7ec434fc4bb?cid=b1b7bb35faa34eac9690da4b561aa86f
3366,3366,4zZXtKoDZpyqUeefvAZ4kd,Country,0.611,0.398,6,-7.428,1,0.03,0.413,5.14e-06,0.112,0.164,115.855,214178,4,https://p.scdn.co/mp3-preview/e662ef4de6c0ef7fff9358a67d2cca719fc643b4?cid=b1b7bb35faa34eac9690da4b561aa86f
3376,3376,2krOhQexsy4onw9lK6X4nF,Country,0.648,0.64,7,-10.293,1,0.0539,0.291,0.00144,0.0631,0.438,115.924,196493,4,https://p.scdn.co/mp3-preview/9a7867def6f19a98e0166c82f5722899a831ea55?cid=b1b7bb35faa34eac9690da4b561aa86f
3386,3386,42EMpD7IolRqO6NbSzqPc4,Country,0.546,0.614,2,-4.749,1,0.0289,0.229,0.0,0.0803,0.267,123.955,182107,4,https://p.scdn.co/mp3-preview/b7b00a6c19a58c13033c07d9eea001f4471a1a26?cid=b1b7bb35faa34eac9690da4b561aa86f
3387,3387,5e8EOWR28fOYVrwGfK6zZ6,Country,0.531,0.29,1,-8.678,1,0.0307,0.729,1.21e-05,0.191,0.13,78.046,197267,4,https://p.scdn.co/mp3-preview/9806b7b4b974ee1138082f57a7ecdc8730e32e3f?cid=b1b7bb35faa34eac9690da4b561aa86f
3397,3397,4jabHHJGjA0EbUbPXANyoa,Country,0.556,0.63,5,-5.279,1,0.0274,0.491,0.0,0.108,0.279,77.95,175543,4,https://p.scdn.co/mp3-preview/c1f7e706d545592e50bf8b264b3cbe99dbc8db6a?cid=b1b7bb35faa34eac9690da4b561aa86f
3398,3398,2YYMlqyO7PXnq9qOADLN2m,Country,0.636,0.524,4,-6.147,1,0.0309,0.561,0.0,0.213,0.532,87.994,219163,4,https://p.scdn.co/mp3-preview/d8cb980d1569ac52c2a59b2cfbe3f7a3ff1b9ad0?cid=b1b7bb35faa34eac9690da4b561aa86f
3399,3399,0m2JqPFRwdhFEvTXQNYwmB,Country,0.644,0.624,8,-6.886,1,0.0286,0.399,0.0,0.108,0.391,142.056,187906,4,https://p.scdn.co/mp3-preview/be8ee0a91663910146e856ab133a7ec164400dc9?cid=b1b7bb35faa34eac9690da4b561aa86f
3400,3400,5PEAhSqM5AcKeRnug1RXmh,Country,0.409,0.407,7,-11.406,0,0.0295,0.0437,0.00105,0.105,0.148,139.855,220286,4,https://p.scdn.co/mp3-preview/919142fca755384ff0a86b902a3dc14cd07f1643?cid=b1b7bb35faa34eac9690da4b561aa86f
3401,3401,5yBGtSb93iilccxxneeaPT,Country,0.583,0.665,11,-5.487,0,0.0342,0.275,0.0,0.0982,0.37,137.835,227755,4,https://p.scdn.co/mp3-preview/c21c1e9675a61d93465f7e98c2c7385e26c1e0ea?cid=b1b7bb35faa34eac9690da4b561aa86f
3402,3402,1J0o4mivHxK78JwzHAOXoU,Country,0.488,0.834,11,-3.852,1,0.0363,0.00268,0.0,0.239,0.771,169.946,175898,4,https://p.scdn.co/mp3-preview/72df813f5ceaa74a2e060886b7a43a6a21f2a2c6?cid=b1b7bb35faa34eac9690da4b561aa86f
3403,3403,3aY1KcqJBhCdGouzAPR4dR,Country,0.45,0.869,11,-3.461,1,0.0527,0.00946,0.0,0.263,0.613,151.916,209880,4,https://p.scdn.co/mp3-preview/1b4b0c64cabdf29c2cd4633f08abcdb6d2ebc00e?cid=b1b7bb35faa34eac9690da4b561aa86f
3404,3404,4ZwDsXxWizapgqAH1ZYKee,Country,0.502,0.801,2,-4.939,1,0.0308,0.222,0.0,0.108,0.546,80.009,189146,4,https://p.scdn.co/mp3-preview/f4c45b18782070ead0b1a02b61a90c41e7bc229e?cid=b1b7bb35faa34eac9690da4b561aa86f
3405,3405,6Oxs6pZEDEB2o6csSvMNI0,Country,0.546,0.731,1,-5.321,0,0.032,0.0306,0.0,0.343,0.722,117.949,205667,4,https://p.scdn.co/mp3-preview/becbdb25854f358ab6f88270936249af04cb565b?cid=b1b7bb35faa34eac9690da4b561aa86f
3406,3406,76sXdNzolJIMRrX1TAnUXI,Country,0.382,0.44,2,-6.797,1,0.0271,0.0342,0.0,0.137,0.27,159.32,230186,3,https://p.scdn.co/mp3-preview/276141636e4250013a5734c0195d536265c68359?cid=b1b7bb35faa34eac9690da4b561aa86f
3411,3411,6A1ohNxfXzVD2r2KzMVkUo,Country,0.529,0.367,4,-6.048,1,0.0293,0.764,7.66e-05,0.241,0.171,145.846,197277,4,https://p.scdn.co/mp3-preview/bec763900da7332b245ec890b68dba84f95cbd48?cid=b1b7bb35faa34eac9690da4b561aa86f
3412,3412,4Awyruvi0ztiW1gEI1rVhy,Country,0.593,0.817,0,-3.993,1,0.0259,0.015,0.0,0.155,0.711,95.98,156875,4,https://p.scdn.co/mp3-preview/779208a223ece1d904d6f950f0be0c1cec362a39?cid=b1b7bb35faa34eac9690da4b561aa86f
3413,3413,4Qn7rSZvWOHy0erNMuWTDg,Country,0.534,0.679,2,-6.307,1,0.0366,0.0203,0.0,0.26,0.358,110.133,192000,4,https://p.scdn.co/mp3-preview/c04e2d5980170de2a8b8241f5a65937eb8c2f309?cid=b1b7bb35faa34eac9690da4b561aa86f
3414,3414,4h33ppiAPrfNf9Qh961wZU,Country,0.513,0.49,2,-6.681,1,0.0465,0.811,4.35e-05,0.107,0.493,169.874,216279,4,https://p.scdn.co/mp3-preview/7ce8d67355d373214da98b8af711e61dae0d1b04?cid=b1b7bb35faa34eac9690da4b561aa86f
3415,3415,4ioDT0NAIiEFC2f6ICbk9F,Country,0.71,0.776,8,-4.929,1,0.0331,0.0545,0.0,0.0862,0.68,105.998,175473,4,https://p.scdn.co/mp3-preview/c77d70c369ed35c7539a117a5fb6f8b92f4ab629?cid=b1b7bb35faa34eac9690da4b561aa86f
3416,3416,7DgCgodSqkvvo5fxRsZIhH,Country,0.549,0.68,6,-8.662,1,0.0451,0.0899,3.61e-06,0.141,0.506,75.001,195200,4,https://p.scdn.co/mp3-preview/efbe2e1916db312f4feab19d2532e601b05f527c?cid=b1b7bb35faa34eac9690da4b561aa86f
3417,3417,6vq8cZTFEk2K4sUGP7DImT,Country,0.491,0.789,2,-4.892,1,0.0498,0.00351,0.0,0.108,0.385,111.048,184919,4,https://p.scdn.co/mp3-preview/259c087685f56a54f92b41719cc651a899d25cb8?cid=b1b7bb35faa34eac9690da4b561aa86f
3418,3418,1OA8ro4PPqsjS0W8Mn8Abf,Country,0.603,0.452,4,-7.476,1,0.0279,0.324,6.18e-06,0.217,0.301,116.939,237568,3,https://p.scdn.co/mp3-preview/61309972eb80cd3ad87a73c0252a0e7d43e87293?cid=b1b7bb35faa34eac9690da4b561aa86f
3419,3419,3MGvINBVUSWv0H5hPB3tcm,Country,0.565,0.444,2,-7.672,1,0.0285,0.24,0.0,0.083,0.207,131.932,219087,4,https://p.scdn.co/mp3-preview/31bbeee6f8f1a2fb54d02a63f0284ad8ab16334c?cid=b1b7bb35faa34eac9690da4b561aa86f
3420,3420,4xXLbkBpJuktdiEm0KX2Rn,Country,0.621,0.62,10,-5.166,1,0.0301,0.401,0.0,0.136,0.381,146.911,201512,4,https://p.scdn.co/mp3-preview/a4b0d1c05961c8af1bc648fe24714cfcd06954ad?cid=b1b7bb35faa34eac9690da4b561aa86f
3421,3421,6gaUZS0z2SiJBLpGdRxxn7,Country,0.47,0.516,2,-6.324,1,0.029,0.14,0.0,0.0881,0.374,147.947,192162,4,https://p.scdn.co/mp3-preview/1dcab074e3d5d0f3fab2cd445872a1a0c7649a8f?cid=b1b7bb35faa34eac9690da4b561aa86f
3422,3422,7IoA0dhrFuSVc7RKzlPWTl,Country,0.392,0.791,7,-5.389,1,0.043,0.133,0.0,0.136,0.249,74.776,212537,4,https://p.scdn.co/mp3-preview/d2cd0d5f418289ddea980a6daff2f68922d3934d?cid=b1b7bb35faa34eac9690da4b561aa86f
3423,3423,1cHcVOexBvNPJH649cmRYy,Country,0.403,0.853,6,-2.837,1,0.0453,0.0974,0.0,0.201,0.58,152.121,174653,4,https://p.scdn.co/mp3-preview/ecbe94569ca46bd71f1ecfbcd730d9df7e2911b7?cid=b1b7bb35faa34eac9690da4b561aa86f
3424,3424,4R6DJRTtSY5n4OVz8yCrCC,Country,0.63,0.725,6,-5.89,0,0.03,0.123,0.0,0.151,0.476,92.056,158087,4,https://p.scdn.co/mp3-preview/591cbb2daa483b11d97d4cd6545da827d1ded2ff?cid=b1b7bb35faa34eac9690da4b561aa86f
3425,3425,6WbgsfXOLb2BzOwKVinrOL,Country,0.432,0.741,1,-4.898,1,0.0434,0.245,0.0,0.11,0.181,75.978,262227,4,https://p.scdn.co/mp3-preview/215027eee873e94a6f58b5e49714de542aed70c6?cid=b1b7bb35faa34eac9690da4b561aa86f
3426,3426,4kwMq8fICTi4yEMmM4o9Ea,Country,0.553,0.68,0,-3.929,1,0.0348,0.102,0.0,0.332,0.32,146.149,165198,4,https://p.scdn.co/mp3-preview/142196a8fb052038c983f13924e9171cf9c598eb?cid=b1b7bb35faa34eac9690da4b561aa86f
3427,3427,5wuhNKowYeusr9n1HCRVIX,Country,0.46,0.713,11,-5.866,1,0.0371,0.00845,0.0,0.109,0.299,159.921,178025,4,https://p.scdn.co/mp3-preview/1a648e4adbbba2f00dfab9eb79a31c7e1edc6833?cid=b1b7bb35faa34eac9690da4b561aa86f
3428,3428,1V9kDxaJ7YgzboDdyNwNCw,Country,0.571,0.563,0,-7.737,1,0.0276,0.511,0.0,0.106,0.33,79.935,177694,4,https://p.scdn.co/mp3-preview/6dec8ee9f2f8c9143450d219a5e9aa9a820f3dd7?cid=b1b7bb35faa34eac9690da4b561aa86f
3429,3429,6Koj5ejCeCF8yoxqql8lb2,Country,0.251,0.487,6,-5.515,1,0.0299,0.129,0.0,0.114,0.22,152.73,204600,3,https://p.scdn.co/mp3-preview/8533f471dd8eda67688de75515580b0bcc151279?cid=b1b7bb35faa34eac9690da4b561aa86f
3430,3430,68e2QIbfBWugaJJJ5aowkA,Country,0.404,0.558,6,-7.002,1,0.0398,0.178,0.0,0.0998,0.463,87.26,120670,4,https://p.scdn.co/mp3-preview/4f85381f5f70653b7d9e05c92aa68973185e79e3?cid=b1b7bb35faa34eac9690da4b561aa86f
3431,3431,20dOJXcbWj6bfexxp0HURz,Country,0.486,0.891,1,-4.933,1,0.0602,0.00635,4.74e-06,0.0765,0.397,139.987,211022,4,https://p.scdn.co/mp3-preview/71b650625b344841deee3ddfc718b64886e1a125?cid=b1b7bb35faa34eac9690da4b561aa86f
3432,3432,2lEBhc9R8WDLRg68dCtHZp,Country,0.472,0.769,4,-4.554,1,0.0415,0.00396,0.0,0.153,0.588,153.956,192147,4,https://p.scdn.co/mp3-preview/f7463623b02f800dc1b3c897c151423a8c16a029?cid=b1b7bb35faa34eac9690da4b561aa86f
3441,3441,1K9oTNesBIC5cRPtyKhQRt,Country,0.438,0.757,2,-7.248,1,0.0458,0.00613,4.08e-06,0.382,0.295,104.93,172500,4,https://p.scdn.co/mp3-preview/c0869f83d4ffb06397a6a1b11db608450f92cd1b?cid=b1b7bb35faa34eac9690da4b561aa86f
3442,3442,6d8nL9enODUfu6rqFC3CeK,Country,0.458,0.835,4,-6.934,1,0.0542,0.0094,0.0,0.0912,0.393,150.037,212328,4,https://p.scdn.co/mp3-preview/57512429e52368435ba1b8eef1e54e81d0ac84cc?cid=b1b7bb35faa34eac9690da4b561aa86f
3443,3443,2bXsceqYYOzIKvOUbA1iY0,Country,0.59,0.851,2,-3.125,1,0.0492,0.0331,0.0,0.132,0.754,115.061,154312,4,https://p.scdn.co/mp3-preview/4930703913f7689098370ae11e42f973c677fe2a?cid=b1b7bb35faa34eac9690da4b561aa86f
3452,3452,7EOiKqLzkuGfvyytoG51Ed,Country,0.641,0.921,6,-3.897,1,0.0718,0.0584,0.0,0.14,0.553,122.97,186704,4,https://p.scdn.co/mp3-preview/46e2ca8df21ecc072ae1cf2fdbb820cd8d3a1c9f?cid=b1b7bb35faa34eac9690da4b561aa86f
