,Unnamed: 0,id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,preview_url
36,36,4ZjFsvk5cj5gNiqscxzw8A,Classical,0.341,0.0314,5,-26.721,1,0.0382,0.984,0.684,0.105,0.374,137.167,325400,3,https://p.scdn.co/mp3-preview/d95439fd3e05afd7879c62073eb0f41b0266ad86?cid=b1b7bb35faa34eac9690da4b561aa86f
38,38,5zWzhXg9RVqhujfeRQogYH,Classical,0.462,0.177,4,-15.476,1,0.0382,0.584,0.437,0.0692,0.193,107.828,207394,4,https://p.scdn.co/mp3-preview/b0225ad531cde23e20d7725b1c79a2532a7d2dc6?cid=b1b7bb35faa34eac9690da4b561aa86f
39,39,7fuoJSNLF8xDFfAvLNS5Z9,Classical,0.147,0.0616,6,-22.948,0,0.0528,0.899,0.00132,0.238,0.0398,76.943,217347,4,https://p.scdn.co/mp3-preview/67757a8271cb00fb60b2508248fbff2bd57fb87c?cid=b1b7bb35faa34eac9690da4b561aa86f
41,41,5yF71NH2YGV3UiSKueUDDW,Classical,0.451,0.0228,9,-26.052,0,0.0477,0.981,0.533,0.104,0.0342,105.136,179187,3,https://p.scdn.co/mp3-preview/0fc1afd2b86a5384abfce5e14fde36282a56e970?cid=b1b7bb35faa34eac9690da4b561aa86f
42,42,7tQMppL13xgkcugy6Grveo,Classical,0.449,0.413,2,-18.937,0,0.103,0.634,0.453,0.106,0.249,110.407,195315,4,https://p.scdn.co/mp3-preview/23b85723c1205e22d41e1bca99f2ffea218465d4?cid=b1b7bb35faa34eac9690da4b561aa86f
43,43,41WGpU3iKXoQbc2AmG4liU,Classical,0.425,0.175,0,-20.075,1,0.0317,0.759,0.718,0.0939,0.569,135.282,424120,4,https://p.scdn.co/mp3-preview/2369a356063006879ea5e970489e902c7502a4f9?cid=b1b7bb35faa34eac9690da4b561aa86f
44,44,7mgoKqD2MoEsrfa9shQNvc,Classical,0.352,0.0205,8,-27.402,1,0.0434,0.993,0.905,0.0952,0.0364,130.561,408773,3,https://p.scdn.co/mp3-preview/7e978e6c0f23f88e99780fefef5e3fe858101772?cid=b1b7bb35faa34eac9690da4b561aa86f
45,45,4etZiHNHhhCxDPXMxo3d8A,Classical,0.209,0.15,0,-23.697,1,0.0404,0.969,0.465,0.069,0.0383,104.325,196875,3,https://p.scdn.co/mp3-preview/166a55f91a4147e279872c2df1dbd2b2af02848d?cid=b1b7bb35faa34eac9690da4b561aa86f
46,46,6tsxzWdVw2WZPTKtcFvSg5,Classical,0.372,0.133,7,-21.83,1,0.0363,0.993,0.916,0.0824,0.623,120.594,294000,3,https://p.scdn.co/mp3-preview/e1a72806d41fc52fff2ac0f8d5054e7f9e6c0af6?cid=b1b7bb35faa34eac9690da4b561aa86f
47,47,5suQ5aESkUI2fkMN0bmkAw,Classical,0.293,0.0827,2,-20.835,0,0.0406,0.966,0.85,0.295,0.0459,131.494,649920,4,https://p.scdn.co/mp3-preview/4a85f03eb863dc3ca394bc62a678d09325d3600b?cid=b1b7bb35faa34eac9690da4b561aa86f
49,49,0kgWdCIY9WSJhyEBOGPlAB,Classical,0.322,0.0435,11,-23.478,1,0.0431,0.985,0.956,0.0936,0.0381,75.913,268520,4,https://p.scdn.co/mp3-preview/d03cf74ee156ca44bbfc60933cd2314470045551?cid=b1b7bb35faa34eac9690da4b561aa86f
50,50,7c4im9eLFrcZF4OA6H6WTd,Classical,0.454,0.0867,1,-23.834,1,0.0457,0.936,0.562,0.153,0.385,114.943,150693,4,https://p.scdn.co/mp3-preview/dddae61b04aced199082fbd2a430ee78dffb3a95?cid=b1b7bb35faa34eac9690da4b561aa86f
51,51,3XODNjYATzcoCGlaEDdpIn,Classical,0.47,0.212,3,-19.548,1,0.0812,0.968,0.926,0.154,0.206,112.681,355987,4,https://p.scdn.co/mp3-preview/bfac1ac92e5fd4f12d1e397bcc58b6d44cbebd7d?cid=b1b7bb35faa34eac9690da4b561aa86f
52,52,5eXAi2uaM8svO10w69RAqF,Classical,0.163,0.153,3,-17.256,1,0.0318,0.986,0.666,0.104,0.156,81.466,274507,3,https://p.scdn.co/mp3-preview/04fb5094555ea46d992e3523828f015af6cd2029?cid=b1b7bb35faa34eac9690da4b561aa86f
54,54,2dYYg8SuuB7vG5JvgqLDA2,Classical,0.697,0.158,10,-18.295,1,0.0418,0.994,0.88,0.11,0.474,132.101,100000,4,https://p.scdn.co/mp3-preview/bc030ae6977730d0bb7c7a491c24be5363969282?cid=b1b7bb35faa34eac9690da4b561aa86f
55,55,4a96300RvLAQoYYPAGDB1c,Classical,0.234,0.122,7,-18.561,1,0.0619,0.989,0.441,0.104,0.223,78.622,117675,4,https://p.scdn.co/mp3-preview/41382d40cd68482c81a74a1d578d68ff6cf208a0?cid=b1b7bb35faa34eac9690da4b561aa86f
56,56,1z85kgMFuk4XXHnL6DaPl8,Classical,0.22,0.0145,6,-30.589,1,0.0354,0.994,0.909,0.0854,0.0498,65.416,360627,4,https://p.scdn.co/mp3-preview/45cb304824d3d7eb776230fb4306143d09b188c3?cid=b1b7bb35faa34eac9690da4b561aa86f
57,57,0S0fI74eK541pvVioiXLeX,Classical,0.339,0.293,10,-15.766,1,0.0471,0.984,0.937,0.172,0.65,162.368,392787,4,https://p.scdn.co/mp3-preview/1683b6b0064418e4c6fefd0ddad45dde50a2034d?cid=b1b7bb35faa34eac9690da4b561aa86f
58,58,5Kohlud3JbV1NvWpnUGKRl,Classical,0.518,0.379,11,-14.17,0,0.0596,0.703,0.0144,0.115,0.544,77.14,371240,4,https://p.scdn.co/mp3-preview/07ec9e08e6ca4a032d570a51b8abdebb99dcd53e?cid=b1b7bb35faa34eac9690da4b561aa86f
59,59,0zkUMp4yNtkoF81Vz2s0wi,Classical,0.373,0.0643,10,-19.822,1,0.0454,0.959,0.277,0.0803,0.483,143.185,223093,4,https://p.scdn.co/mp3-preview/4f449f6d45ccdd4d2f8e854ccc4f0faf345e5d07?cid=b1b7bb35faa34eac9690da4b561aa86f
60,60,57MQkVn6VdqCHCYr2i6kVS,Classical,0.329,0.129,7,-16.313,1,0.0313,0.798,0.873,0.142,0.0383,141.85,261803,4,https://p.scdn.co/mp3-preview/e1e77ce642659b97626bd806237f4801a6c4e92d?cid=b1b7bb35faa34eac9690da4b561aa86f
