danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mfcc_1Mean,mfcc_2Mean,mfcc_3Mean,mfcc_4Mean,mfcc_5Mean,mfcc_6Mean,mfcc_7Mean,mfcc_8Mean,mfcc_9Mean,mfcc_10Mean,mfcc_11Mean,mfcc_12Mean,mfcc_13Mean,chroma_1Mean,chroma_2Mean,chroma_3Mean,chroma_4Mean,chroma_5Mean,chroma_6Mean,chroma_7Mean,chroma_8Mean,chroma_9Mean,chroma_10Mean,chroma_11Mean,chroma_12Mean,genre_encoded
0.131,0.295,-14.984,0.0373,0.847,0.0259,0.125,0.0426,94.727,-138.10738,131.02531,-10.57496,25.932775,-5.086487,4.950814,-5.8572087,-6.147069,-7.6293497,-0.8494158,-4.361165,0.7817046,-5.2678833,0.28193027,0.42187005,0.15698954,0.3255758,0.42138076,0.1823571,0.20534198,0.18082449,0.46331248,0.23856378,0.114995874,0.17389846,0.0
0.319,0.00923,-27.739,0.0729,0.995,0.808,0.0665,0.0349,67.974,-379.44308,187.98785,27.215937,-6.2006764,0.014517021,-6.3273783,-9.917211,-12.037836,-11.0323,-7.2353134,-5.4275985,-4.9898434,-4.617322,0.12893024,0.1816525,0.37722635,0.28587574,0.23500459,0.21068554,0.16659224,0.2037532,0.23453824,0.22664702,0.38665682,0.13141891,0.0
0.272,0.094,-23.598,0.0486,0.951,0.162,0.0656,0.264,128.632,-343.9043,106.213524,-14.76317,31.484272,-7.594774,-6.195896,-4.2523527,-0.6242515,-8.807159,-4.4320173,-10.414484,0.31478912,6.2128243,0.13885912,0.3842842,0.20382765,0.12617531,0.20318487,0.11455269,0.22039434,0.101885475,0.26208612,0.28112024,0.14570594,0.25840273,0.0
0.0632,0.036,-31.784,0.0447,0.908,0.91,0.113,0.0393,65.766,-359.15085,164.89395,-23.785572,18.775372,-7.2829223,5.8798027,-10.308304,-5.3190107,-9.788041,-1.5934021,-4.58453,2.6158917,-3.924263,0.23362012,0.16045916,0.5375761,0.18651359,0.26875433,0.3240156,0.17597955,0.18915096,0.17379251,0.238586,0.1426069,0.39086604,0.0
0.48,0.311,-15.19,0.0383,0.941,0.00187,0.0803,0.627,97.36,-166.84799,115.69114,-15.964482,26.280643,-11.136258,-6.291341,-18.698269,-2.1307309,-10.566305,-4.9729834,-14.08663,-8.657592,-8.476748,0.22817712,0.24706373,0.466057,0.20770712,0.12682538,0.16141406,0.244446,0.2996469,0.14818022,0.32645637,0.29779658,0.19995335,0.0
0.298,0.183,-20.368,0.0357,0.906,0.914,0.114,0.385,152.289,-290.95224,151.8862,-22.97254,12.246464,-0.028369714,-0.2738245,1.32497,8.713427,0.7173785,-1.9026349,-5.9204946,-1.1064888,-1.1770084,0.34227008,0.24190661,0.3175804,0.38528925,0.35485965,0.2672458,0.17403351,0.29393822,0.40411973,0.35703352,0.3381542,0.24584742,0.0
0.16,0.11,-19.044,0.0578,0.977,0.717,0.0829,0.0392,74.581,-226.89983,112.70027,-45.885044,17.506674,-14.398786,-8.061739,-13.925768,-8.408304,-11.628457,-9.476404,-12.626968,-5.982629,-9.550074,0.31068024,0.19110233,0.29770762,0.22885177,0.17089826,0.35788107,0.24209574,0.25994697,0.20514122,0.31021938,0.36327723,0.18005973,0.0
0.579,0.0845,-20.558,0.05,0.938,0.606,0.115,0.288,147.547,-278.80453,154.27197,-31.731787,29.880672,5.2771006,1.4480116,6.1211953,-0.4937233,-1.9876575,-2.9429817,-10.528245,-4.882344,-4.119615,0.40632194,0.22710533,0.19140585,0.5224163,0.21187457,0.12057086,0.14701413,0.3501246,0.51219237,0.23248272,0.14688092,0.15863547,0.0
0.273,0.0491,-25.095,0.0393,0.968,0.922,0.109,0.112,95.291,-314.29926,191.15779,-24.296293,13.413579,-0.14683113,-2.2606618,-1.9140546,1.398744,2.18257,0.51432073,-1.7640526,-5.6813307,-7.7839723,0.46611604,0.20212278,0.18078592,0.098774694,0.26416233,0.43108463,0.1507093,0.17775896,0.15123828,0.34726602,0.27338362,0.24598798,0.0
0.654,0.252,-16.369,0.0375,0.961,0.894,0.169,0.525,113.129,-143.08209,132.72156,-30.454163,18.496716,-12.620651,-0.17937183,-13.335666,-7.896825,-15.364265,-3.2192235,-10.271153,-1.9788935,-5.4547396,0.26072124,0.33468777,0.31840268,0.2927479,0.6911816,0.4089172,0.3426466,0.20967396,0.27419734,0.52299935,0.2198985,0.3631115,0.0
